yob,gender,province_territory,hh_income,vote_for
1992,Man,Ontario,59999,Green Party
1964,Man,Quebec,44000,Liberal Party
1969,Man,British Columbia,35000,People's Party
1979,Man,Alberta,120000,Conservative Party
1951,Woman,Alberta,72000,Conservative Party
1962,Man,Alberta,138000,Liberal Party
1979,Woman,Saskatchewan,50000,ndp
1945,Man,British Columbia,105000,Liberal Party
1973,Man,Nova Scotia,150000,Conservative Party
1976,Woman,Quebec,13000,Conservative Party
1977,Man,British Columbia,35000,Liberal Party
1982,Woman,Quebec,28000,Bloc Québécois
1955,Woman,Quebec,150000,Conservative Party
1942,Man,Alberta,32000,Conservative Party
1964,Woman,British Columbia,150000,Green Party
1949,Man,Manitoba,54000,Conservative Party
1960,Woman,Alberta,95000,Conservative Party
1993,Woman,Alberta,32000,ndp
1948,Woman,Alberta,50000,Conservative Party
1947,Woman,British Columbia,34000,Liberal Party
1936,Man,British Columbia,98000,Liberal Party
1992,Man,Ontario,85000,Conservative Party
1960,Man,British Columbia,34268,Conservative Party
1956,Man,Quebec,70000,Bloc Québécois
1959,Man,Alberta,100000,Conservative Party
1990,Woman,New Brunswick,38000,Conservative Party
1959,Woman,British Columbia,90000,Liberal Party
1948,Man,British Columbia,25000,Green Party
1954,Man,Quebec,50000,Bloc Québécois
1951,Man,Alberta,27000,Another party (please specify)
1973,Woman,Saskatchewan,93000,Conservative Party
1977,Woman,British Columbia,125000,Liberal Party
1968,Woman,Quebec,92896,Liberal Party
1984,Man,Manitoba,70000,Green Party
1973,Woman,Manitoba,44000,Green Party
1961,Man,Quebec,44000,Liberal Party
1983,Woman,Quebec,180000,People's Party
1950,Woman,Quebec,20000,Conservative Party
1967,Woman,British Columbia,31000,ndp
1968,Woman,Quebec,42000,Bloc Québécois
1959,Woman,Quebec,14000,Bloc Québécois
1955,Man,Quebec,105000,Liberal Party
1961,Man,Quebec,39000,Conservative Party
1947,Man,Quebec,39000,Conservative Party
1959,Man,Quebec,125000,Conservative Party
1963,Man,Ontario,160000,Liberal Party
1979,Man,Ontario,215000,Liberal Party
1983,Man,British Columbia,44000,Conservative Party
1950,Woman,Quebec,18000,Conservative Party
1956,Man,Quebec,60000,Conservative Party
1953,Woman,Quebec,32000,Bloc Québécois
1971,Woman,Quebec,50000,Conservative Party
1969,Woman,Quebec,130000,Liberal Party
1980,Man,Ontario,330000,Conservative Party
1948,Man,Quebec,90000,Conservative Party
1959,Man,Quebec,35000,Conservative Party
1957,Man,Quebec,63000,ndp
1965,Woman,Quebec,98000,Bloc Québécois
1957,Woman,Manitoba,95000,Liberal Party
1951,Woman,Quebec,20000,Conservative Party
1984,Woman,Quebec,52500,Liberal Party
1978,Man,Ontario,149000,Conservative Party
1954,Man,Quebec,80000,Green Party
1960,Woman,British Columbia,89000,Conservative Party
1982,Woman,Alberta,155000,Conservative Party
1953,Woman,Quebec,30000,Liberal Party
1976,Woman,Quebec,49999,Liberal Party
1956,Man,Quebec,75000,Bloc Québécois
1981,Woman,Ontario,60000,Conservative Party
1961,Man,Quebec,10000,Conservative Party
1982,Man,Quebec,96000,Liberal Party
1940,Man,Quebec,22000,Green Party
1972,Woman,Manitoba,65000,Conservative Party
1960,Man,Quebec,69000,Another party (please specify)
1985,Man,Ontario,100000,Conservative Party
1947,Man,British Columbia,300000,Green Party
1974,Woman,Ontario,130000,Liberal Party
1979,Woman,Quebec,132000,Bloc Québécois
1956,Man,Quebec,49000,Liberal Party
1992,Woman,Quebec,51000,Liberal Party
1970,Man,Ontario,170000,Liberal Party
1954,Man,British Columbia,75000,Liberal Party
1966,Woman,Ontario,96000,Conservative Party
1964,Man,Manitoba,140000,Conservative Party
1985,Man,British Columbia,125000,Liberal Party
1989,Man,Ontario,87000,Liberal Party
1973,Woman,Ontario,150000,ndp
1964,Man,Ontario,65000,ndp
1997,Woman,British Columbia,8000,Liberal Party
1979,Man,Ontario,95000,Liberal Party
1963,Man,Quebec,215000,Liberal Party
1961,Woman,British Columbia,12000,Another party (please specify)
1968,Woman,Quebec,45000,Green Party
1976,Woman,Quebec,120000,Conservative Party
1963,Woman,Ontario,45000,Liberal Party
1963,Woman,Ontario,85000,ndp
1986,Woman,Quebec,96000,Liberal Party
1954,Man,Alberta,78000,Conservative Party
1965,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Ontario,280000,Liberal Party
1990,Woman,Quebec,105000,ndp
1970,Woman,Ontario,150000,Liberal Party
1986,Woman,Ontario,145000,Liberal Party
1970,Man,Ontario,145000,Conservative Party
1982,Woman,Ontario,84000,Liberal Party
1981,Woman,Ontario,15000,Liberal Party
1953,Man,Saskatchewan,74000,Conservative Party
1956,Man,Alberta,45000,Conservative Party
1955,Man,Alberta,160000,Conservative Party
1971,Man,British Columbia,64000,Conservative Party
1964,Woman,Quebec,145000,Liberal Party
1954,Man,British Columbia,150000,Conservative Party
1961,Man,Manitoba,140000,Conservative Party
1966,Man,Alberta,198000,Conservative Party
1962,Woman,Manitoba,150000,Liberal Party
1968,Man,Manitoba,54000,Conservative Party
1986,Woman,New Brunswick,60000,People's Party
1990,Man,Saskatchewan,44000,ndp
1951,Man,British Columbia,120000,ndp
1966,Man,British Columbia,79000,Liberal Party
1956,Man,Alberta,148000,ndp
1963,Man,Manitoba,50000,Conservative Party
1989,Woman,Ontario,70000,Green Party
1968,Man,Alberta,180000,Conservative Party
1986,Woman,Ontario,19000,Green Party
1954,Man,Manitoba,12000,Green Party
1959,Woman,British Columbia,120000,Conservative Party
1985,Woman,Ontario,130000,Liberal Party
1988,Woman,Nova Scotia,71000,Liberal Party
1965,Woman,British Columbia,280000,Liberal Party
1985,Woman,Ontario,120000,Green Party
1957,Man,Manitoba,245000,Conservative Party
1946,Man,Alberta,66000,Liberal Party
1988,Woman,Nova Scotia,140000,Liberal Party
1959,Woman,Alberta,120000,Liberal Party
1960,Woman,Saskatchewan,91000,ndp
1989,Woman,Ontario,145000,Liberal Party
1956,Woman,Manitoba,69000,Conservative Party
1992,Man,Nova Scotia,75000,Conservative Party
1958,Woman,Saskatchewan,50000,Conservative Party
1967,Man,Saskatchewan,54000,Conservative Party
1952,Woman,Saskatchewan,70000,Conservative Party
1987,Man,New Brunswick,120000,Green Party
1986,Man,Manitoba,95000,Conservative Party
1954,Man,Alberta,50000,Conservative Party
1957,Woman,British Columbia,28000,Green Party
1942,Man,British Columbia,71000,Conservative Party
1950,Woman,Saskatchewan,55000,Conservative Party
1942,Woman,Manitoba,27500,Another party (please specify)
1988,Woman,Quebec,50000,Liberal Party
1986,Man,Alberta,80000,Conservative Party
1965,Woman,Alberta,5000,Conservative Party
1949,Man,Saskatchewan,55000,Liberal Party
1990,Man,Quebec,90000,Conservative Party
1949,Woman,British Columbia,55000,Conservative Party
1950,Man,British Columbia,90000,Liberal Party
1967,Man,Alberta,30000,Conservative Party
1972,Woman,Alberta,113000,ndp
1992,Man,Alberta,50000,Conservative Party
1955,Woman,Saskatchewan,98000,Conservative Party
1952,Man,Alberta,56000,Conservative Party
1958,Man,Saskatchewan,80000,Conservative Party
1952,Woman,Manitoba,60000,Liberal Party
1954,Woman,Alberta,80000,Conservative Party
1965,Woman,British Columbia,200000,Liberal Party
1940,Man,Saskatchewan,100000,Conservative Party
1968,Woman,Manitoba,150000,Conservative Party
1961,Woman,British Columbia,58000,Liberal Party
1968,Man,Alberta,26000,Liberal Party
1951,Man,Alberta,63000,Conservative Party
1986,Man,Quebec,25000,Green Party
1990,Woman,Ontario,120000,ndp
1985,Man,Quebec,199000,Conservative Party
1965,Woman,Manitoba,92000,Liberal Party
1993,Woman,Saskatchewan,108000,Conservative Party
1987,Woman,Ontario,44000,Liberal Party
1965,Man,British Columbia,140000,Conservative Party
1965,Woman,Manitoba,131000,Liberal Party
1966,Woman,Alberta,110000,Conservative Party
1965,Woman,Saskatchewan,150000,Conservative Party
1996,Woman,Ontario,10000,Conservative Party
1964,Man,Alberta,120000,Conservative Party
1969,Man,Saskatchewan,110000,Liberal Party
1968,Man,Alberta,52000,Liberal Party
1994,Woman,Ontario,80000,ndp
1993,Woman,Quebec,120000,Bloc Québécois
1975,Woman,Manitoba,150000,Conservative Party
1974,Man,Alberta,344555,Conservative Party
1967,Man,Saskatchewan,130000,Green Party
1987,Woman,Manitoba,63000,Conservative Party
1984,Man,Alberta,255000,Conservative Party
1985,Woman,Quebec,25000,Liberal Party
1981,Man,Alberta,138000,Conservative Party
1964,Woman,British Columbia,15000,Another party (please specify)
1979,Woman,Saskatchewan,66000,Conservative Party
1978,Woman,Saskatchewan,197000,Liberal Party
1993,Woman,Quebec,40000,Bloc Québécois
1970,Woman,Manitoba,65000,ndp
1975,Woman,Saskatchewan,145000,Conservative Party
1987,Man,Quebec,92000,Liberal Party
1990,Man,Alberta,135000,Conservative Party
1963,Man,Saskatchewan,25000,Conservative Party
1969,Woman,Alberta,88000,Conservative Party
1990,Woman,Nova Scotia,43000,ndp
1988,Woman,Ontario,90000,ndp
1991,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Saskatchewan,31000,Green Party
1987,Woman,Saskatchewan,80000,Liberal Party
1992,Man,Quebec,150000,Liberal Party
1993,Woman,Ontario,25000,ndp
1966,Woman,British Columbia,78000,Green Party
1991,Woman,Nova Scotia,12000,ndp
1985,Woman,Ontario,101000,Liberal Party
1978,Man,British Columbia,72000,Conservative Party
1963,Woman,Alberta,200000,Conservative Party
1994,Woman,Nova Scotia,55000,Liberal Party
1996,Man,British Columbia,52000,ndp
1974,Man,British Columbia,127000,Liberal Party
2000,Man,Ontario,85000,Green Party
1988,Woman,Alberta,50000,Conservative Party
1992,Woman,Newfoundland and Labrador,67000,Liberal Party
1968,Woman,Saskatchewan,59000,Conservative Party
1964,Man,British Columbia,115000,Conservative Party
1995,Woman,Ontario,190000,Conservative Party
1994,Woman,Alberta,56000,Conservative Party
1985,Man,Ontario,43000,Liberal Party
1978,Man,British Columbia,41000,Liberal Party
1989,Woman,Ontario,45000,Liberal Party
1964,Man,Saskatchewan,140000,ndp
1985,Woman,Ontario,110000,Liberal Party
1972,Man,British Columbia,120000,ndp
1974,Woman,British Columbia,90000,ndp
1968,Woman,Manitoba,83000,Conservative Party
1991,Man,Ontario,199000,Liberal Party
1996,Man,Ontario,60000,ndp
1990,Woman,Quebec,69,Conservative Party
1964,Man,British Columbia,99000,Liberal Party
1975,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Manitoba,89000,Green Party
1986,Man,Ontario,12000,Conservative Party
1967,Man,British Columbia,1000000,ndp
1972,Woman,Alberta,135000,Liberal Party
1977,Man,Alberta,210000,Liberal Party
1989,Man,Alberta,95000,Conservative Party
1986,Woman,Alberta,80000,Conservative Party
1992,Woman,Alberta,120000,Conservative Party
1966,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",British Columbia,124000,Conservative Party
1968,Woman,British Columbia,55000,Conservative Party
1988,Woman,Ontario,44000,Green Party
1987,Woman,Alberta,104000,Conservative Party
1986,Woman,Ontario,42000,Green Party
1986,Woman,Alberta,54000,ndp
1982,Woman,British Columbia,140000,Conservative Party
1987,Woman,Ontario,48000,ndp
1986,Woman,Quebec,70000,Liberal Party
1979,Man,Saskatchewan,165000,Liberal Party
1989,Man,Ontario,150000,Conservative Party
1986,Man,Ontario,125000,Conservative Party
1987,Woman,British Columbia,36000,Liberal Party
1969,Woman,Saskatchewan,22000,ndp
1991,Woman,Ontario,15000,Liberal Party
1964,Woman,British Columbia,200000,Liberal Party
1991,Woman,Manitoba,200000,Conservative Party
1988,Woman,Quebec,70000,ndp
1985,Man,Ontario,33000,ndp
1991,Woman,Ontario,105000,ndp
1963,Man,British Columbia,150000,Another party (please specify)
1963,Man,Alberta,160000,Conservative Party
1990,Woman,Quebec,69000,Green Party
1966,Man,British Columbia,165000,ndp
1965,Woman,Saskatchewan,80000,Liberal Party
1981,Woman,Saskatchewan,17500,Liberal Party
1985,Man,Ontario,125000,Liberal Party
2000,Man,Alberta,34000,Conservative Party
1995,Woman,Ontario,50000,Conservative Party
1991,Man,Saskatchewan,53754,Conservative Party
1964,Woman,British Columbia,145000,Conservative Party
1989,Woman,Saskatchewan,70000,Conservative Party
1994,Woman,Alberta,14000,Conservative Party
1989,Woman,Ontario,210000,ndp
1987,Woman,Alberta,125000,Conservative Party
1983,Man,British Columbia,175000,Conservative Party
1980,Woman,British Columbia,100000,Conservative Party
1988,Woman,Ontario,100000,Liberal Party
1977,Man,Alberta,42000,Conservative Party
1990,Woman,Quebec,124000,Conservative Party
1995,Woman,Quebec,40000,Conservative Party
1967,Man,British Columbia,500000,Conservative Party
1989,Woman,British Columbia,99000,Conservative Party
1989,Woman,Quebec,115000,Conservative Party
1986,Man,Alberta,98000,Conservative Party
1992,Woman,Alberta,30000,ndp
1963,Man,British Columbia,46000,Liberal Party
1974,Man,Alberta,150000,Conservative Party
1993,Man,Ontario,238000,Liberal Party
1990,Man,Quebec,25000,Liberal Party
1985,Man,British Columbia,78346,Conservative Party
1984,Man,Alberta,125000,Conservative Party
1987,Woman,Quebec,80000,Liberal Party
1999,Woman,Ontario,15000,Liberal Party
1985,Woman,Ontario,65000,Conservative Party
1971,Man,Alberta,155000,Conservative Party
1990,Woman,Manitoba,49000,ndp
1986,Man,British Columbia,99000,Liberal Party
1987,Woman,Alberta,85000,ndp
1989,Woman,Ontario,198000,Green Party
1976,Woman,Saskatchewan,150000,Liberal Party
1990,Woman,Quebec,89000,Liberal Party
1989,Man,Alberta,10000,Conservative Party
1987,Woman,British Columbia,30000,ndp
1996,Woman,Ontario,40000,Liberal Party
1992,Man,Ontario,78000,Conservative Party
1997,Woman,Ontario,175000,Liberal Party
1986,Man,Alberta,50000,Conservative Party
1996,Man,Ontario,65000,Liberal Party
1985,Woman,British Columbia,60000,ndp
2000,Woman,Saskatchewan,60000,Green Party
1991,Woman,Alberta,200000,Liberal Party
1992,Woman,British Columbia,85000,ndp
1989,Woman,Quebec,100000,ndp
1985,Woman,British Columbia,120000,Conservative Party
1990,Woman,Ontario,74000,ndp
1989,Man,British Columbia,35000,Conservative Party
1985,Woman,Alberta,50000,Conservative Party
1991,Man,Quebec,30000,ndp
1998,Woman,Alberta,25000,Conservative Party
1987,Woman,Alberta,85000,Green Party
1993,Woman,Quebec,36000,Liberal Party
1989,Woman,British Columbia,25000,Green Party
1985,Woman,British Columbia,36000,ndp
1986,Woman,Manitoba,55000,ndp
1986,Woman,British Columbia,260000,Liberal Party
1999,Woman,Alberta,150000,Conservative Party
1995,Woman,Quebec,41000,Liberal Party
1991,Woman,Alberta,180000,Conservative Party
1990,Woman,Saskatchewan,90000,Conservative Party
1985,Woman,Alberta,75000,Conservative Party
1998,Woman,British Columbia,150000,Conservative Party
1995,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",Alberta,25000,ndp
1985,Man,British Columbia,65000,Liberal Party
1991,Woman,British Columbia,30000,Liberal Party
1986,Man,British Columbia,140000,Conservative Party
1991,Man,Saskatchewan,65000,ndp
1993,"Other (e.g. Trans, non-binary, two-spirit, gender-queer)",British Columbia,70000,Green Party
1985,Woman,Ontario,115000,ndp
1992,Woman,Ontario,23000,Green Party
1990,Woman,Nova Scotia,69000,Conservative Party
1976,Woman,Alberta,160000,ndp
1983,Man,Alberta,30000,Liberal Party
1952,Woman,Ontario,16000,Conservative Party
1968,Woman,Ontario,100000,ndp
1945,Man,Ontario,48000,Liberal Party
1999,Woman,Ontario,100000,Conservative Party
1998,Woman,Quebec,90000,Green Party
1961,Man,British Columbia,40000,ndp
1962,Woman,Ontario,160000,Green Party
1970,Woman,New Brunswick,50000,Liberal Party
1966,Woman,Ontario,17500,Conservative Party
1963,Man,Ontario,90000,Liberal Party
1944,Woman,Alberta,40000,Liberal Party
1949,Man,Ontario,6100,Liberal Party
1981,Woman,Quebec,75000,Conservative Party
1996,Man,Ontario,250000,ndp
1950,Man,Quebec,64000,Bloc Québécois
1936,Man,British Columbia,99000,Conservative Party
1970,Woman,Saskatchewan,40000,ndp
1964,Woman,Ontario,90000,Conservative Party
1989,Man,Ontario,120000,Conservative Party
1958,Woman,Newfoundland and Labrador,30000,Liberal Party
1991,Woman,Ontario,50000,Green Party
1954,Man,Ontario,70000,Liberal Party
1979,Woman,Ontario,168000,Liberal Party
1962,Man,New Brunswick,125000,Conservative Party
1969,Man,Alberta,88000,Conservative Party
1956,Woman,Ontario,49000,Conservative Party
1952,Woman,Ontario,99000,Conservative Party
1953,Man,Alberta,120000,Conservative Party
1984,Woman,Quebec,55000,Conservative Party
1960,Woman,Alberta,80000,ndp
1967,Man,Quebec,126000,Liberal Party
1949,Man,Alberta,85000,Liberal Party
1949,Man,Quebec,75000,Green Party
1972,Man,Nova Scotia,120000,Green Party
1950,Woman,Ontario,120000,Liberal Party
1959,Woman,Ontario,59000,Green Party
1984,Man,Ontario,85000,Liberal Party
1953,Woman,British Columbia,40500,Conservative Party
1970,Woman,Saskatchewan,250000,Conservative Party
1955,Woman,Quebec,105000,ndp
1970,Man,Alberta,76000,Liberal Party
1972,Man,Alberta,130000,Green Party
1955,Woman,Manitoba,39000,ndp
1967,Woman,Quebec,95000,Green Party
1978,Woman,Ontario,70000,ndp
1992,Woman,Ontario,40000,Liberal Party
1972,Man,Alberta,100000,Conservative Party
1958,Woman,British Columbia,170000,Liberal Party
1955,Man,Ontario,35000,Conservative Party
1969,Woman,Ontario,200000,Liberal Party
1947,Man,Quebec,95000,Bloc Québécois
1949,Woman,Ontario,69000,ndp
1957,Man,Alberta,75000,Conservative Party
1968,Woman,Ontario,100000,Conservative Party
1976,Woman,Alberta,70000,Conservative Party
1980,Man,New Brunswick,82000,Green Party
1990,Man,Ontario,55000,Conservative Party
1948,Man,Manitoba,30000,Liberal Party
1996,Woman,Ontario,11000,Liberal Party
1982,Woman,Ontario,175000,Liberal Party
1994,Woman,Quebec,3,Green Party
1982,Woman,Yukon,107000,Liberal Party
1996,Man,Quebec,15000,ndp
1946,Man,Saskatchewan,90000,Conservative Party
1958,Man,Newfoundland and Labrador,130000,Conservative Party
1956,Man,Ontario,72000,Conservative Party
1957,Man,British Columbia,125000,Conservative Party
1957,Man,Manitoba,110000,Conservative Party
1967,Man,Manitoba,95000,Liberal Party
1971,Man,Quebec,70000,Conservative Party
1963,Man,Alberta,65000,Conservative Party
1953,Man,Ontario,130000,Liberal Party
1956,Man,Quebec,80000,Green Party
1961,Woman,New Brunswick,93000,Liberal Party
1956,Man,Quebec,16000,Liberal Party
1994,Man,Ontario,80000,Liberal Party
1983,Woman,Ontario,128000,Liberal Party
1947,Man,Alberta,55000,Liberal Party
1954,Man,Ontario,60000,Green Party
1949,Man,New Brunswick,55000,Liberal Party
1962,Woman,Manitoba,65000,Conservative Party
1952,Woman,Ontario,75000,Conservative Party
1972,Woman,Alberta,150000,Conservative Party
1987,Woman,British Columbia,131000,ndp
1960,Woman,Ontario,85000,Liberal Party
1954,Woman,Alberta,70000,Liberal Party
1957,Man,Saskatchewan,49000,Conservative Party
1972,Man,Alberta,150000,Conservative Party
1944,Man,British Columbia,45000,Green Party
1951,Woman,Alberta,80000,Conservative Party
1986,Man,Ontario,250000,Green Party
1959,Woman,Ontario,69000,Liberal Party
1958,Man,Newfoundland and Labrador,31000,Liberal Party
1974,Woman,Quebec,158000,Conservative Party
1982,Man,Quebec,60000,ndp
1953,Man,Quebec,51000,Liberal Party
1973,Woman,Quebec,48000,Conservative Party
1965,Man,Alberta,41000,Conservative Party
1996,Woman,Ontario,20000,Conservative Party
1998,Man,Quebec,20000,Liberal Party
1992,Man,Newfoundland and Labrador,75000,Liberal Party
2000,Woman,Ontario,119000,Conservative Party
1996,Man,Quebec,100000,People's Party
1991,Man,Ontario,140000,Liberal Party
1990,Man,Ontario,79876,Liberal Party
1993,Woman,Alberta,100000,Conservative Party
1987,Man,Saskatchewan,140000,ndp
1996,Woman,Ontario,64000,ndp
2000,Woman,Ontario,100,Conservative Party
1985,Woman,Ontario,90000,ndp
1964,Man,Ontario,49000,Liberal Party
1975,Woman,Ontario,10000,ndp
1959,Woman,Ontario,400000,Liberal Party
1962,Woman,Quebec,24000,Conservative Party
1964,Woman,Newfoundland and Labrador,110000,ndp
1947,Woman,Ontario,50000,Green Party
1989,Man,Ontario,89000,Conservative Party
1959,Woman,Saskatchewan,87000,Liberal Party
1951,Woman,New Brunswick,50,Liberal Party
1975,Woman,Alberta,100000,Conservative Party
1945,Man,Ontario,27000,Conservative Party
1971,Man,Alberta,95000,Liberal Party
1990,Woman,Ontario,85000,ndp
1982,Man,Quebec,125000,Green Party
1950,Woman,Ontario,43000,Another party (please specify)
1972,Man,Ontario,85000,Conservative Party
1958,Man,Ontario,150000,Liberal Party
1929,Man,British Columbia,125000,Conservative Party
1963,Man,British Columbia,60000,Conservative Party
1944,Woman,British Columbia,40,Liberal Party
1977,Woman,Ontario,148000,Liberal Party
1960,Man,Ontario,170000,Conservative Party
1980,Woman,Ontario,80000,Liberal Party
1990,Man,Quebec,110000,Green Party
1940,Woman,Quebec,44000,Green Party
1940,Man,Quebec,100000,Bloc Québécois
1974,Woman,Quebec,160000,Liberal Party
1954,Woman,British Columbia,85000,Conservative Party
1963,Woman,British Columbia,75000,ndp
1955,Woman,Alberta,18000,Conservative Party
1955,Woman,Saskatchewan,15000,People's Party
1946,Woman,Quebec,43000,Liberal Party
1970,Woman,Alberta,135000,Conservative Party
1952,Man,Quebec,150000,Conservative Party
1972,Man,Ontario,23000,Conservative Party
1950,Woman,Ontario,75000,ndp
1978,Man,British Columbia,130000,Green Party
1987,Man,Ontario,60000,Green Party
1981,Woman,Ontario,20000,Green Party
1950,Man,Ontario,55000,Conservative Party
1968,Man,Ontario,125000,ndp
1967,Man,Manitoba,98000,Conservative Party
1977,Man,Ontario,89,Conservative Party
1946,Man,British Columbia,41000,ndp
1997,Man,Quebec,52000,ndp
1940,Woman,Alberta,21000,Conservative Party
1994,Woman,Ontario,75000,ndp
1955,Man,Ontario,125000,Liberal Party
1954,Man,Quebec,66000,Bloc Québécois
1953,Woman,Ontario,36000,Green Party
1946,Man,British Columbia,3000000,ndp
1980,Woman,Ontario,135000,People's Party
1990,Woman,Ontario,140000,Liberal Party
1971,Man,Ontario,78000,Conservative Party
1967,Man,Ontario,80000,Liberal Party
1969,Man,Manitoba,140000,Conservative Party
1976,Woman,Ontario,70000,ndp
1991,Woman,Alberta,76000,ndp
1960,Man,Ontario,23000,ndp
1987,Woman,Manitoba,60000,People's Party
1987,Woman,Ontario,68000,Liberal Party
1998,Woman,Quebec,50000,Liberal Party
1956,Man,New Brunswick,56000,Liberal Party
1968,Woman,Manitoba,45675,Conservative Party
1958,Man,Ontario,54000,ndp
1957,Man,Ontario,80000,Conservative Party
1941,Man,British Columbia,115000,Conservative Party
1974,Woman,Ontario,278000,Conservative Party
1957,Woman,British Columbia,52000,Conservative Party
1982,Man,British Columbia,98000,Liberal Party
1954,Woman,British Columbia,16000,Green Party
1946,Woman,New Brunswick,19000,People's Party
2000,Woman,Ontario,125000,Conservative Party
1946,Man,Ontario,52000,Liberal Party
1952,Woman,Quebec,25000,Liberal Party
1930,Man,Ontario,60000,Liberal Party
1971,Man,Ontario,120000,Conservative Party
1990,Man,British Columbia,25000,Green Party
1980,Man,British Columbia,55425,Liberal Party
1961,Man,British Columbia,86000,ndp
1960,Woman,Ontario,75000,Liberal Party
1977,Woman,Ontario,125000,Liberal Party
1964,Woman,Ontario,16000,ndp
1955,Man,Ontario,14999,Conservative Party
1982,Woman,Nova Scotia,26000,Another party (please specify)
1965,Woman,Newfoundland and Labrador,7500,Liberal Party
1953,Man,Ontario,40000,Green Party
1982,Man,Ontario,70000,Liberal Party
1982,Woman,Alberta,27000,Liberal Party
1974,Man,Ontario,500000,People's Party
1968,Woman,Ontario,179000,Liberal Party
1938,Man,British Columbia,40000,Conservative Party
1952,Man,Ontario,140000,Conservative Party
1960,Man,Manitoba,42000,Liberal Party
1987,Man,Quebec,12500,Liberal Party
1998,Woman,Ontario,50000,Liberal Party
1962,Man,Quebec,95000,ndp
1950,Woman,Ontario,28000,Liberal Party
1963,Woman,Ontario,15000,ndp
1946,Man,Ontario,105000,Liberal Party
1979,Man,Quebec,72450,Conservative Party
1948,Woman,Ontario,34000,ndp
1951,Woman,Ontario,160000,Liberal Party
1984,Man,Quebec,12000,Liberal Party
1982,Woman,Ontario,149000,People's Party
1952,Woman,Ontario,89000,ndp
1994,Woman,Quebec,65000,Green Party
1951,Man,Saskatchewan,101000,ndp
1978,Woman,Quebec,45000,Liberal Party
1953,Woman,Manitoba,23500,Conservative Party
1972,Woman,Quebec,24000,Bloc Québécois
1955,Woman,Ontario,40000,ndp
1974,Man,Quebec,130000,Liberal Party
1928,Woman,Ontario,49000,Liberal Party
1958,Woman,Nova Scotia,97500,Liberal Party
1949,Woman,British Columbia,42000,Conservative Party
1953,Man,Ontario,120000,Liberal Party
1959,Woman,Manitoba,100000,Conservative Party
1963,Man,Alberta,142000,Conservative Party
1982,Woman,British Columbia,49000,People's Party
1957,Man,Alberta,10000,Conservative Party
1967,Woman,New Brunswick,114000,Liberal Party
1960,Man,Ontario,24000,ndp
1960,Woman,Saskatchewan,52000,ndp
1971,Woman,Quebec,40000,Liberal Party
1975,Woman,Ontario,123000,Conservative Party
1992,Woman,Ontario,47000,ndp
1945,Woman,Ontario,22000,Green Party
1962,Woman,Ontario,34000,ndp
1965,Woman,Newfoundland and Labrador,24000,Conservative Party
1951,Woman,British Columbia,72000,ndp
1992,Woman,British Columbia,30000,ndp
1951,Woman,British Columbia,45000,Conservative Party
1975,Man,Ontario,150000,Green Party
1938,Man,British Columbia,59000,Liberal Party
1957,Woman,Alberta,54000,Conservative Party
1940,Woman,British Columbia,20000,Conservative Party
1955,Man,British Columbia,39000,Liberal Party
1971,Man,Ontario,70000,Liberal Party
1992,Woman,Ontario,20000,Liberal Party
1964,Woman,Ontario,9000,ndp
1962,Woman,Ontario,58000,Conservative Party
1952,Woman,Ontario,44000,Liberal Party
1979,Man,Ontario,65000,Conservative Party
1967,Man,Alberta,149000,Conservative Party
1954,Woman,British Columbia,38000,Liberal Party
1971,Woman,Ontario,150000,Conservative Party
1970,Woman,Ontario,84000,Conservative Party
1983,Woman,Ontario,100000,ndp
1969,Woman,Ontario,69000,ndp
1957,Man,Ontario,110000,Liberal Party
1954,Woman,British Columbia,45000,Conservative Party
1946,Man,Ontario,24000,Conservative Party
1981,Man,Ontario,30000,Liberal Party
1939,Man,Ontario,38000,Conservative Party
1961,Woman,Alberta,150000,Conservative Party
1957,Man,British Columbia,14000,ndp
1986,Man,Ontario,100000,Liberal Party
1980,Woman,British Columbia,38000,ndp
1955,Man,Ontario,50000,Green Party
1984,Woman,Ontario,115000,Liberal Party
1965,Woman,Quebec,7999,Conservative Party
1968,Man,Ontario,21000,Conservative Party
1976,Woman,British Columbia,150000,Liberal Party
1953,Woman,Ontario,69000,Conservative Party
1949,Woman,Ontario,65400,Liberal Party
1962,Woman,Ontario,27000,Green Party
1945,Woman,Ontario,75000,Liberal Party
1977,Woman,Ontario,80000,Conservative Party
1967,Woman,Quebec,55000,Bloc Québécois
1967,Woman,Quebec,91000,Conservative Party
2000,Man,Quebec,75000,Liberal Party
1972,Woman,Ontario,120000,Liberal Party
1960,Man,Alberta,19000,Conservative Party
1938,Man,British Columbia,65000,Conservative Party
1965,Man,Ontario,68000,Conservative Party
1944,Woman,Ontario,110000,Liberal Party
1961,Man,Quebec,145000,Liberal Party
1969,Woman,British Columbia,15867,ndp
1983,Woman,Alberta,180000,Green Party
1996,Man,Ontario,30000,Conservative Party
1967,Woman,British Columbia,15000,Green Party
1961,Woman,Ontario,140000,Liberal Party
1981,Woman,Alberta,120000,Green Party
1980,Woman,Saskatchewan,60000,Conservative Party
