resp,urban,region,age,educattgen,marstat,abortion,hdi,hdi_c
1015,rural,north,15,primary/middle school,currently married,0,0.475,-1.0409124148359898
1016,rural,south west,25,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1017,rural,north,27,primary/middle school,currently married,0,0.475,-1.0409124148359898
1018,urban,kampala,11,secondary/post-primary,never married,0,0.639,1.9602453067111254
1019,rural,west nile,21,primary/middle school,currently married,0,0.486,-0.8396152505858784
1020,urban,kampala,9,secondary/post-primary,never married,0,0.639,1.9602453067111254
1021,rural,north,13,secondary/post-primary,divorced or separated,1,0.475,-1.0409124148359898
1022,urban,east central,28,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1023,rural,west nile,10,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
1024,rural,east central,23,tertiary/post-secondary,currently living with partner,0,0.53,-0.03442659358543225
1025,rural,eastern,23,primary/middle school,currently married,0,0.526,-0.10762556240365462
1026,rural,east central,11,primary/middle school,never married,0,0.53,-0.03442659358543225
1027,rural,north,38,never attended,divorced or separated,0,0.475,-1.0409124148359898
1028,rural,eastern,37,primary/middle school,divorced or separated,0,0.526,-0.10762556240365462
1029,urban,kampala,28,primary/middle school,currently married,1,0.639,1.9602453067111254
1030,urban,central 2,10,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1031,rural,eastern,37,primary/middle school,currently married,0,0.526,-0.10762556240365462
1032,rural,north,12,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1033,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1034,rural,eastern,37,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1035,rural,eastern,15,primary/middle school,currently married,1,0.526,-0.10762556240365462
1036,urban,central 2,36,secondary/post-primary,currently living with partner,1,0.586,0.990358969869679
1037,rural,north,9,primary/middle school,never married,0,0.475,-1.0409124148359898
1038,urban,kampala,22,tertiary/post-secondary,currently living with partner,0,0.639,1.9602453067111254
1039,urban,north,40,primary/middle school,currently married,0,0.475,-1.0409124148359898
1040,rural,east central,7,primary/middle school,never married,0,0.53,-0.03442659358543225
1041,rural,karamoja,26,never attended,currently married,0,0.45,-1.4984059699498786
1042,rural,north,15,primary/middle school,currently living with partner,1,0.475,-1.0409124148359898
1043,rural,south west,34,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
1044,rural,central 2,22,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1045,urban,kampala,14,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1046,rural,western,21,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
1047,rural,karamoja,30,never attended,widow or widower,0,0.45,-1.4984059699498786
1048,rural,east central,11,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1049,urban,east central,12,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1050,urban,kampala,20,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1051,urban,kampala,15,secondary/post-primary,never married,0,0.639,1.9602453067111254
1052,rural,west nile,18,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
1053,rural,central 2,17,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1054,rural,west nile,13,primary/middle school,currently married,0,0.486,-0.8396152505858784
1055,urban,south west,23,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1056,rural,eastern,13,primary/middle school,currently married,0,0.526,-0.10762556240365462
1057,rural,central 2,22,secondary/post-primary,currently living with partner,1,0.586,0.990358969869679
1058,urban,kampala,15,secondary/post-primary,never married,0,0.639,1.9602453067111254
1059,rural,western,28,primary/middle school,currently married,0,0.499,-0.6017186019266556
1060,urban,kampala,12,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1061,rural,east central,32,primary/middle school,currently married,0,0.53,-0.03442659358543225
1062,rural,east central,16,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1063,rural,western,19,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1064,rural,central 2,32,never attended,currently living with partner,0,0.586,0.990358969869679
1065,urban,western,16,primary/middle school,never married,0,0.499,-0.6017186019266556
1066,rural,east central,21,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1067,rural,west nile,14,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1068,urban,western,40,never attended,currently married,0,0.499,-0.6017186019266556
1069,rural,west nile,40,never attended,currently married,0,0.486,-0.8396152505858784
1070,rural,western,25,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1071,rural,karamoja,22,never attended,currently living with partner,0,0.45,-1.4984059699498786
1072,urban,kampala,15,secondary/post-primary,currently married,1,0.639,1.9602453067111254
1073,rural,central 2,33,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1074,urban,kampala,38,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1075,urban,kampala,14,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1076,rural,south west,41,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1077,rural,north,10,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1078,urban,west nile,11,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
1079,rural,eastern,20,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1080,urban,kampala,27,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1081,rural,western,16,primary/middle school,never married,0,0.499,-0.6017186019266556
1082,rural,north,14,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1083,rural,western,16,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1084,rural,eastern,36,primary/middle school,currently married,0,0.526,-0.10762556240365462
1085,rural,eastern,31,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
1086,rural,central 1,22,primary/middle school,currently married,0,0.54,0.14857082846012368
1087,rural,north,8,secondary/post-primary,never married,0,0.475,-1.0409124148359898
1088,rural,karamoja,19,never attended,currently married,0,0.45,-1.4984059699498786
1089,rural,central 2,39,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1090,rural,east central,9,primary/middle school,currently married,0,0.53,-0.03442659358543225
1091,rural,eastern,9,secondary/post-primary,never married,0,0.526,-0.10762556240365462
1092,rural,south west,23,secondary/post-primary,currently living with partner,1,0.518,-0.2540235000400994
1093,rural,western,29,primary/middle school,currently married,1,0.499,-0.6017186019266556
1094,rural,north,19,secondary/post-primary,currently married,0,0.475,-1.0409124148359898
1095,urban,east central,28,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
1096,urban,south west,14,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1097,urban,central 2,22,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1098,urban,kampala,17,primary/middle school,currently living with partner,1,0.639,1.9602453067111254
1099,rural,south west,25,never attended,currently married,0,0.518,-0.2540235000400994
1100,rural,south west,24,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1101,rural,east central,23,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1102,rural,south west,14,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1103,rural,south west,17,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
1104,rural,east central,15,primary/middle school,currently married,0,0.53,-0.03442659358543225
1105,rural,east central,19,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1106,rural,central 2,10,secondary/post-primary,never married,0,0.586,0.990358969869679
1107,rural,south west,33,never attended,currently married,0,0.518,-0.2540235000400994
1108,rural,eastern,11,primary/middle school,never married,0,0.526,-0.10762556240365462
1109,urban,east central,31,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1110,rural,eastern,24,primary/middle school,currently married,0,0.526,-0.10762556240365462
1111,rural,central 1,24,primary/middle school,divorced or separated,1,0.54,0.14857082846012368
1112,rural,north,24,primary/middle school,currently married,0,0.475,-1.0409124148359898
1113,rural,central 2,21,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1114,rural,south west,17,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1115,rural,central 1,30,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
1116,rural,south west,32,primary/middle school,widow or widower,0,0.518,-0.2540235000400994
1117,rural,north,27,primary/middle school,currently married,0,0.475,-1.0409124148359898
1118,rural,east central,9,primary/middle school,never married,0,0.53,-0.03442659358543225
1119,rural,western,9,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
1120,rural,karamoja,16,never attended,currently living with partner,0,0.45,-1.4984059699498786
1121,rural,central 2,13,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1122,rural,east central,14,secondary/post-primary,currently living with partner,1,0.53,-0.03442659358543225
1123,rural,eastern,20,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
1124,urban,north,27,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1125,urban,western,37,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1126,rural,western,11,secondary/post-primary,never married,0,0.499,-0.6017186019266556
1127,rural,eastern,33,primary/middle school,currently married,0,0.526,-0.10762556240365462
1128,rural,east central,20,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1129,rural,east central,15,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1130,rural,central 2,28,primary/middle school,widow or widower,0,0.586,0.990358969869679
1131,urban,karamoja,25,primary/middle school,widow or widower,0,0.45,-1.4984059699498786
1132,rural,east central,10,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1133,rural,central 2,15,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1134,rural,north,40,primary/middle school,currently married,0,0.475,-1.0409124148359898
1135,urban,kampala,33,primary/middle school,currently married,1,0.639,1.9602453067111254
1136,urban,central 1,12,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1137,rural,western,29,tertiary/post-secondary,divorced or separated,1,0.499,-0.6017186019266556
1138,rural,east central,19,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1139,rural,eastern,8,secondary/post-primary,never married,0,0.526,-0.10762556240365462
1140,rural,south west,19,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1141,urban,west nile,24,primary/middle school,widow or widower,0,0.486,-0.8396152505858784
1142,rural,south west,30,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1143,rural,south west,32,never attended,currently living with partner,0,0.518,-0.2540235000400994
1144,rural,north,12,tertiary/post-secondary,currently living with partner,0,0.475,-1.0409124148359898
1145,rural,north,32,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1146,rural,north,26,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1147,rural,north,20,primary/middle school,currently married,1,0.475,-1.0409124148359898
1148,rural,south west,22,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1149,rural,west nile,17,secondary/post-primary,currently living with partner,0,0.486,-0.8396152505858784
1150,urban,kampala,19,never attended,currently married,0,0.639,1.9602453067111254
1151,rural,south west,9,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1152,urban,kampala,27,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1153,rural,east central,21,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1154,urban,central 1,27,tertiary/post-secondary,divorced or separated,1,0.54,0.14857082846012368
1155,urban,kampala,18,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1156,rural,western,8,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1157,rural,east central,18,primary/middle school,divorced or separated,1,0.53,-0.03442659358543225
1158,rural,south west,19,never attended,currently married,0,0.518,-0.2540235000400994
1159,rural,karamoja,12,never attended,currently married,0,0.45,-1.4984059699498786
1160,rural,central 2,32,primary/middle school,currently married,0,0.586,0.990358969869679
1161,urban,south west,22,secondary/post-primary,divorced or separated,0,0.518,-0.2540235000400994
1162,rural,central 2,18,never attended,currently married,0,0.586,0.990358969869679
1163,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1164,rural,central 2,11,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1165,urban,western,20,tertiary/post-secondary,never married,0,0.499,-0.6017186019266556
1166,rural,east central,21,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1167,urban,kampala,13,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1168,rural,eastern,19,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1169,rural,north,37,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1170,rural,karamoja,16,never attended,currently married,0,0.45,-1.4984059699498786
1171,rural,east central,23,primary/middle school,currently married,0,0.53,-0.03442659358543225
1172,rural,north,21,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1173,urban,central 2,27,secondary/post-primary,currently living with partner,0,0.586,0.990358969869679
1174,rural,south west,28,primary/middle school,currently living with partner,1,0.518,-0.2540235000400994
1175,urban,kampala,36,never attended,currently married,0,0.639,1.9602453067111254
1176,rural,north,26,primary/middle school,currently married,0,0.475,-1.0409124148359898
1177,rural,east central,21,primary/middle school,currently married,0,0.53,-0.03442659358543225
1178,rural,eastern,20,primary/middle school,divorced or separated,1,0.526,-0.10762556240365462
1179,rural,north,16,secondary/post-primary,currently married,0,0.475,-1.0409124148359898
1180,urban,kampala,24,primary/middle school,currently married,0,0.639,1.9602453067111254
1181,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1182,urban,kampala,35,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1183,rural,eastern,14,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1184,rural,western,24,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
1185,urban,kampala,35,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1186,rural,central 1,30,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1187,urban,east central,15,primary/middle school,currently living with partner,1,0.53,-0.03442659358543225
1188,rural,eastern,14,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
1189,rural,south west,23,secondary/post-primary,currently married,0,0.518,-0.2540235000400994
1190,urban,kampala,22,primary/middle school,currently living with partner,1,0.639,1.9602453067111254
1191,urban,kampala,13,tertiary/post-secondary,divorced or separated,0,0.639,1.9602453067111254
1192,rural,central 1,15,primary/middle school,currently married,0,0.54,0.14857082846012368
1193,urban,kampala,35,primary/middle school,currently married,0,0.639,1.9602453067111254
1194,rural,karamoja,14,never attended,currently married,0,0.45,-1.4984059699498786
1195,urban,kampala,20,primary/middle school,currently living with partner,0,0.639,1.9602453067111254
1196,rural,western,23,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
1197,rural,western,11,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1198,urban,east central,38,tertiary/post-secondary,currently living with partner,0,0.53,-0.03442659358543225
1199,rural,north,16,never attended,currently living with partner,0,0.475,-1.0409124148359898
1200,rural,south west,30,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1201,rural,central 2,20,tertiary/post-secondary,currently living with partner,0,0.586,0.990358969869679
1202,urban,north,17,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1203,rural,western,18,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1204,urban,central 1,10,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
1205,rural,western,30,primary/middle school,divorced or separated,0,0.499,-0.6017186019266556
1206,rural,central 1,6,primary/middle school,never married,0,0.54,0.14857082846012368
1207,rural,north,20,primary/middle school,currently married,0,0.475,-1.0409124148359898
1208,rural,west nile,28,secondary/post-primary,currently married,0,0.486,-0.8396152505858784
1209,rural,east central,19,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1210,rural,north,24,primary/middle school,currently married,0,0.475,-1.0409124148359898
1211,rural,eastern,20,primary/middle school,currently married,0,0.526,-0.10762556240365462
1212,rural,north,21,secondary/post-primary,currently married,0,0.475,-1.0409124148359898
1213,rural,north,27,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1214,rural,north,9,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1215,rural,eastern,13,secondary/post-primary,currently married,0,0.526,-0.10762556240365462
1216,rural,east central,35,never attended,currently living with partner,0,0.53,-0.03442659358543225
1217,rural,west nile,10,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
1218,rural,eastern,17,secondary/post-primary,currently living with partner,1,0.526,-0.10762556240365462
1219,rural,western,25,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
1220,rural,south west,22,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1221,rural,western,33,primary/middle school,currently married,0,0.499,-0.6017186019266556
1222,rural,eastern,25,primary/middle school,currently married,1,0.526,-0.10762556240365462
1223,urban,west nile,15,tertiary/post-secondary,never married,0,0.486,-0.8396152505858784
1224,urban,south west,18,never attended,currently married,0,0.518,-0.2540235000400994
1225,rural,south west,34,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1226,rural,east central,11,primary/middle school,currently married,0,0.53,-0.03442659358543225
1227,rural,eastern,19,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1228,rural,east central,19,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1229,urban,kampala,10,primary/middle school,never married,0,0.639,1.9602453067111254
1230,rural,south west,36,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1231,rural,west nile,33,never attended,currently married,0,0.486,-0.8396152505858784
1232,rural,north,20,primary/middle school,currently married,0,0.475,-1.0409124148359898
1233,rural,south west,13,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1234,urban,eastern,28,secondary/post-primary,currently living with partner,0,0.526,-0.10762556240365462
1235,urban,central 1,18,secondary/post-primary,currently married,0,0.54,0.14857082846012368
1236,rural,north,23,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1237,urban,central 2,17,secondary/post-primary,never married,0,0.586,0.990358969869679
1238,rural,eastern,22,primary/middle school,currently married,0,0.526,-0.10762556240365462
1239,rural,north,10,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1240,urban,kampala,19,secondary/post-primary,divorced or separated,0,0.639,1.9602453067111254
1241,urban,kampala,15,secondary/post-primary,never married,0,0.639,1.9602453067111254
1242,rural,central 2,26,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1243,rural,western,9,primary/middle school,never married,0,0.499,-0.6017186019266556
1244,rural,west nile,34,primary/middle school,currently married,0,0.486,-0.8396152505858784
1245,rural,south west,24,primary/middle school,currently married,0,0.518,-0.2540235000400994
1246,rural,karamoja,14,never attended,currently living with partner,0,0.45,-1.4984059699498786
1247,urban,karamoja,21,never attended,currently married,0,0.45,-1.4984059699498786
1248,rural,central 2,12,never attended,divorced or separated,0,0.586,0.990358969869679
1249,rural,south west,32,primary/middle school,widow or widower,0,0.518,-0.2540235000400994
1250,urban,kampala,15,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1251,rural,east central,7,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1252,rural,east central,22,secondary/post-primary,currently living with partner,0,0.53,-0.03442659358543225
1253,rural,north,9,primary/middle school,never married,0,0.475,-1.0409124148359898
1254,rural,central 2,11,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1255,rural,west nile,18,primary/middle school,currently living with partner,0,0.486,-0.8396152505858784
1256,urban,south west,40,never attended,currently married,0,0.518,-0.2540235000400994
1257,rural,north,34,primary/middle school,currently married,0,0.475,-1.0409124148359898
1258,rural,central 2,32,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1259,rural,north,32,never attended,currently married,0,0.475,-1.0409124148359898
1260,rural,west nile,17,never attended,currently married,0,0.486,-0.8396152505858784
1261,urban,kampala,11,primary/middle school,never married,0,0.639,1.9602453067111254
1262,rural,south west,23,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1263,urban,kampala,30,secondary/post-primary,widow or widower,0,0.639,1.9602453067111254
1264,urban,north,19,never attended,currently married,0,0.475,-1.0409124148359898
1265,rural,south west,21,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1266,urban,eastern,17,tertiary/post-secondary,never married,0,0.526,-0.10762556240365462
1267,rural,north,9,primary/middle school,never married,0,0.475,-1.0409124148359898
1268,rural,eastern,22,primary/middle school,currently married,0,0.526,-0.10762556240365462
1269,rural,central 1,17,secondary/post-primary,currently living with partner,0,0.54,0.14857082846012368
1270,urban,kampala,16,primary/middle school,never married,0,0.639,1.9602453067111254
1271,rural,western,11,tertiary/post-secondary,never married,0,0.499,-0.6017186019266556
1272,rural,western,30,primary/middle school,currently married,0,0.499,-0.6017186019266556
1273,urban,central 1,27,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1274,rural,south west,11,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1275,rural,east central,17,secondary/post-primary,never married,0,0.53,-0.03442659358543225
1276,rural,western,16,secondary/post-primary,currently living with partner,0,0.499,-0.6017186019266556
1277,urban,kampala,20,don't know,never married,0,0.639,1.9602453067111254
1278,rural,east central,41,primary/middle school,currently married,0,0.53,-0.03442659358543225
1279,rural,west nile,11,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1280,rural,south west,21,tertiary/post-secondary,currently living with partner,0,0.518,-0.2540235000400994
1281,rural,west nile,25,primary/middle school,divorced or separated,0,0.486,-0.8396152505858784
1282,rural,east central,37,primary/middle school,currently married,1,0.53,-0.03442659358543225
1283,urban,kampala,22,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1284,rural,eastern,30,primary/middle school,currently married,0,0.526,-0.10762556240365462
1285,urban,kampala,10,primary/middle school,never married,0,0.639,1.9602453067111254
1286,rural,south west,32,primary/middle school,currently living with partner,0,0.518,-0.2540235000400994
1287,urban,kampala,15,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1288,rural,north,17,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1289,urban,kampala,18,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1290,rural,north,9,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1291,urban,kampala,23,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1292,urban,western,25,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1293,urban,east central,30,primary/middle school,currently married,1,0.53,-0.03442659358543225
1294,rural,karamoja,16,never attended,currently married,0,0.45,-1.4984059699498786
1295,rural,east central,28,never attended,currently married,0,0.53,-0.03442659358543225
1296,urban,kampala,9,primary/middle school,divorced or separated,0,0.639,1.9602453067111254
1297,rural,north,12,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1298,urban,kampala,17,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1299,rural,north,18,primary/middle school,currently living with partner,0,0.475,-1.0409124148359898
1300,rural,east central,19,secondary/post-primary,currently married,0,0.53,-0.03442659358543225
1301,rural,north,23,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1302,rural,east central,9,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1303,rural,south west,37,primary/middle school,currently married,0,0.518,-0.2540235000400994
1304,urban,kampala,15,secondary/post-primary,currently married,0,0.639,1.9602453067111254
1305,urban,western,33,primary/middle school,currently married,0,0.499,-0.6017186019266556
1306,rural,central 1,13,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1307,urban,kampala,32,primary/middle school,widow or widower,0,0.639,1.9602453067111254
1308,urban,kampala,7,primary/middle school,never married,0,0.639,1.9602453067111254
1309,rural,west nile,13,primary/middle school,currently married,0,0.486,-0.8396152505858784
1310,urban,central 1,10,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1311,rural,east central,15,primary/middle school,currently married,0,0.53,-0.03442659358543225
1312,rural,karamoja,28,never attended,currently living with partner,0,0.45,-1.4984059699498786
1313,urban,kampala,28,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1314,urban,east central,35,primary/middle school,currently married,0,0.53,-0.03442659358543225
1315,rural,eastern,31,primary/middle school,currently married,1,0.526,-0.10762556240365462
1316,rural,eastern,41,primary/middle school,currently living with partner,0,0.526,-0.10762556240365462
1317,urban,kampala,10,secondary/post-primary,never married,0,0.639,1.9602453067111254
1318,rural,karamoja,18,never attended,currently married,0,0.45,-1.4984059699498786
1319,rural,south west,18,primary/middle school,divorced or separated,0,0.518,-0.2540235000400994
1320,rural,karamoja,34,never attended,currently married,0,0.45,-1.4984059699498786
1321,rural,western,15,secondary/post-primary,currently married,0,0.499,-0.6017186019266556
1322,rural,north,14,primary/middle school,divorced or separated,0,0.475,-1.0409124148359898
1323,rural,east central,35,primary/middle school,currently married,0,0.53,-0.03442659358543225
1324,urban,kampala,24,secondary/post-primary,never married,0,0.639,1.9602453067111254
1325,rural,eastern,20,primary/middle school,currently married,0,0.526,-0.10762556240365462
1326,urban,kampala,12,tertiary/post-secondary,never married,0,0.639,1.9602453067111254
1327,urban,central 1,11,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1328,rural,western,15,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1329,rural,western,25,secondary/post-primary,no response or missing,0,0.499,-0.6017186019266556
1330,urban,kampala,16,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1331,rural,central 1,11,secondary/post-primary,currently married,0,0.54,0.14857082846012368
1332,rural,west nile,26,primary/middle school,currently married,0,0.486,-0.8396152505858784
1333,rural,western,10,primary/middle school,currently living with partner,0,0.499,-0.6017186019266556
1334,rural,south west,28,primary/middle school,currently married,0,0.518,-0.2540235000400994
1335,rural,central 2,23,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1336,urban,eastern,17,tertiary/post-secondary,currently living with partner,0,0.526,-0.10762556240365462
1337,rural,east central,30,primary/middle school,currently living with partner,0,0.53,-0.03442659358543225
1338,urban,kampala,35,primary/middle school,widow or widower,0,0.639,1.9602453067111254
1339,urban,kampala,41,tertiary/post-secondary,divorced or separated,0,0.639,1.9602453067111254
1340,rural,south west,39,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1341,urban,kampala,22,tertiary/post-secondary,currently married,0,0.639,1.9602453067111254
1342,rural,east central,37,never attended,currently living with partner,0,0.53,-0.03442659358543225
1343,urban,central 1,10,secondary/post-primary,divorced or separated,0,0.54,0.14857082846012368
1344,rural,eastern,36,never attended,currently living with partner,0,0.526,-0.10762556240365462
1345,rural,west nile,27,never attended,currently married,0,0.486,-0.8396152505858784
1346,rural,north,29,primary/middle school,currently married,0,0.475,-1.0409124148359898
1347,urban,south west,13,secondary/post-primary,never married,1,0.518,-0.2540235000400994
1348,urban,kampala,15,secondary/post-primary,currently living with partner,0,0.639,1.9602453067111254
1349,urban,western,26,primary/middle school,currently married,0,0.499,-0.6017186019266556
1350,rural,central 2,12,primary/middle school,currently living with partner,0,0.586,0.990358969869679
1351,rural,karamoja,23,never attended,currently living with partner,0,0.45,-1.4984059699498786
1352,urban,south west,13,secondary/post-primary,currently living with partner,0,0.518,-0.2540235000400994
1353,rural,east central,29,never attended,currently married,1,0.53,-0.03442659358543225
1354,rural,south west,12,never attended,currently living with partner,0,0.518,-0.2540235000400994
1355,rural,eastern,6,primary/middle school,never married,0,0.526,-0.10762556240365462
1356,rural,central 1,31,primary/middle school,currently married,0,0.54,0.14857082846012368
1357,rural,central 2,31,primary/middle school,divorced or separated,0,0.586,0.990358969869679
1358,rural,east central,12,tertiary/post-secondary,never married,0,0.53,-0.03442659358543225
1359,rural,west nile,37,never attended,currently married,1,0.486,-0.8396152505858784
1360,rural,eastern,27,primary/middle school,currently married,0,0.526,-0.10762556240365462
1361,rural,south west,27,never attended,currently living with partner,0,0.518,-0.2540235000400994
1362,rural,east central,19,secondary/post-primary,currently living with partner,1,0.53,-0.03442659358543225
1363,urban,central 1,20,primary/middle school,currently living with partner,0,0.54,0.14857082846012368
1364,rural,north,19,primary/middle school,divorced or separated,1,0.475,-1.0409124148359898
